,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
212493,212494,B000KS3L4E,A2RVGRF0KIBGN4,Southwest Grill,2,8,1,1324252800,Tape?,"While I have not yet tried the hot seasoning, I was very disappointed when it arrived with packing tape securing the top of the container.  To get the applied tape off, the paper put on by the manufacturer tore.  Obviously, this container will not be put on my table."
165270,165271,B000EVG8J2,A3PF64KXBV0BEZ,A. Atkinson,1,2,2,1205452800,Not a favorite,"Well, my kid who isn't gluten free likes them, and my kid who is won't touch them.  I cook and bake most of what we eat, so desserts are very homemade and natural in their flavor.  These are really, really artificial-lemon flavored....they remind me of my dish soap every time I try one.  I really don't like the flavor, but the texture is nice.  I'm a little dizzied that I have so many boxes of something I don't care for... it was worth a try, though."
113096,113097,B000LKXBL4,ACJW2YSBG2HA1,i am me,0,0,4,1336694400,These chips are awesome if not best but....,I think these chips are awesome if not the best along with Poor Brothers Salt and Vinager chips. But if you buy these Spicy Thai chips in a smaller bag it might have too much of the flavor (at the bottom of the bag) in it then the larger bag at least that was my experience last time I bought these off amazon but that was like in 2010. So I would suggest trying Spicy Thai in a bag bigger then 5 ounces.
355457,355458,B007PA33KM,AFKGQECO1APSS,Barbara Walston,0,0,5,1350691200,Caribou Coffee,I'm not a morning person and I need my morning coffee!  I got this coffee at a great price and it was delivered as promised.  Caribou Coffee was just the thing I needed for my mornings to get started.  Using the K-cups was very convenient and made brewing coffee quick and easy.
566000,566001,B000EHNCZ4,A2Y8IDC1FKGNJC,L. A.,2,2,5,1205625600,I love these~better than candy!,"These are so good. I love the crunchy peanuts on the outside and the chocolaty nougat on the inside. it is like a candy bar, but better because it is healthy, full of protein, not too sweet, and there is no gross aftertaste. This makes a perfect meal on the go. I always have one in my purse for those days when I have no time in between clients to stop for a meal. This fills me up until I can get to my next meal. It keeps me away from fast food garbage stops."
477070,477071,B0045H4TZ6,A3DHRRFTNN94VY,annetarpon,1,1,5,1338940800,Excellent chocolate thins!,"I first tasted these at a wedding reception.  They are so delicious.  It took me a long time to find the Royal Chocolate website (royalchocolatesusa.com), then was so disappointed when there was no way to order them, or find out where they can be purchased.  Note:  If amazon doesn't have them, they must not exisit! They are worth this effort to find them, so I'll keep trying."
72491,72492,B0012KOQ2K,AFP8PB588WXII,S. Loudermilk,1,1,5,1263945600,Divina Olives Stuffed with Jalapeno are simply the best!!,I received my first jar as a gift at Christmas.  I have tried several different brands of olives stuffed with jalapenos but none compare to these.  They are not too spicy or salty and have just the right amount of jalapeno added for flavor.  They are perfect any time of the day.  I definitely recommend this item.
509767,509768,B001SB0Q9U,A2ZVM2MWJ499I7,L. Frances,0,0,5,1302480000,Nice change from coffee,I've never been a big fan of hot apple cider until I tried Motts!  The Caramel flavor is absolutely delicious and it has just the right amount of sweetness.  I add a cinnamon stick for a stir and I have a nice cozy drink on a chilly day.
431099,431100,B0006JKWJE,A1HWSSF15CANC5,Brenda Parker,0,0,5,1324598400,Look no further,"If you like cinnamon bears, try these and you will never want the ones at the nearest convenience store again.  They are to the other cinnamon bears what the authentic jelly bellies are to the stale grocery store imitation.  Amazon should set up a subscription order for these as they will be arriving at my  house monthly.  Also, I know they are costly, but due to their intensity and the satisfaction of something that truly sates your appetite you will eat a lot fewer (which in essence makes them much lower in calories per serving than the poor imitations. Also, they do not contain high fructose corn sweetener (just regular sugar and corn syrup)."
170568,170569,B004A5LAM8,A1RPWAP10570K6,PA,2,2,1,1340150400,Tree lasted only a week after I received it,The tree lasted only a week.  It started dying from the day that it was shipped.  Do not waste your money on this.
31714,31715,B0089X1L8U,A31SMX29ZX6WYJ,lizzy,0,0,5,1338508800,ALMOST AMBROSIA,"This is a wonderful, delicate, yet so tasty green tea. The Pomegranate gives it a special, almost zesty, taste. I ordered a box of it for my Keurig machine, and went through the 1st box at record speed. Since then, I order two boxes at a time, Since it's a green (herbal) tea, you can enjoy it any time of day or as a tisane in the evening.  I think you'll like it as much as I do."
222154,222155,B002UGTJFY,A2702QQVSR5CXB,T. Mueller,0,0,5,1303603200,Exactly what I was hoping for.,"I normally buy the decaffeinated version of this tea.  I was worried about buying the decaf version because it might be lacking in the same great flavor I am used to.  But I was pleasantly surprised that there wasn't much of a noticeable difference!  I'll definitely keep buying the decaf version from now on.  I've also had the Jasmine variety from this brand (not decaf) and it is also amazing.  Sadly, it doesn't come in a decaffeinated version but the flavor is well worth the small headaches I get."
2473,2474,B002JX7GVM,A2WONWXCQUDRQA,david v bircher,1,2,1,1308182400,Bleh... cane juice is 3rd on ingred. list.,"I've had Amy and Brians coconut water - yum!, Vico's plain in the tetra pack - great! (the ones in the plastic bottle and some in the larger tetra packs are from concentrate - blah and yuck- don't get those!) , and the ones in the glass bottles- green cover- can't remember the name, but pure coconut water -great too.<br /><br />This, one with pineapple- no good.  The added cane juice is superfluous to the natural sweetness of coconut water and pineapple juice.  It makes the water taste 'thicker' and not so healthy.<br /><br />I wish these brands can just stick to the name of the drinks in their ingredients! (i.e. coconut water and pineapple juice! - no more!)"
389237,389238,B007R4HG4K,ADLJYBOCPJAFE,Joecompute,0,0,3,1343260800,Pretty Good but way over-priced,"This is a variant on the standard GM French Vanilla that is in a smaller package (22 instead of 24 cups).  It sells for under Fifteen bucks for ""Members"" on the Keurig site - a member is anyone who joins.  Shipping is free only at Fourty Five dollar + orders.  Consider this as a fair price for this stuff."
521314,521315,B005MQCBDG,A4IL0CLL27Q33,D. Brennan,1,1,1,1350950400,Pricing is out of line - 2X the price of buying them from Nespresso.,"You can order the same products online from Nespresso for approx $25 AND you can specify exactly what you want to buy rather than taking a mixture of items, some of which you may not like.<br /><br />Nespresso makes GREAT coffee and GREAT machines. The Nespresso capsule offers posted on Amazon however are all by third parties who prey on people who don't know better."
519663,519664,B006N3I1HM,A3ISMAUBXRC23P,Michael R. Bellomy,0,0,5,1347580800,Gloria Jean's Hazelnut - The Way to Begin a GREAT Day!,Beginning each day with the warm rich flavor of Gloria Jean's Hazelnut<br />relaxes and opens the mind to expect GREAT Things for the challenging day to come.
143757,143758,B0046I4SK0,A2K2YNGSGMWDNI,"Lisa K. Mccann ""merlinharp""",0,0,5,1350691200,The only thing my picky dogs will eat!,"I have had a really difficult time getting my dogs to eat dog food:  one had to be on a special homemade diet for 6 months, after which no kibble would make the grade.  Fortunately, this one worked, although I do take extra measures for my incredibly picky dogs, including crushing it, adding warm water, heating it in the microwave, and mixing it with ground beef.  Avoderm is a healthy food that I trust, and the other reviewer with concerns about avocados need not worry:  it's the stems and leaves of the avocado that are a problem for dogs, not the meat of the fruit itself.  I will keep buying as long as they make it."
76417,76418,B001HTKOWC,AVFA1JB08RG8G,"Wile E. Coyote ""^. .^""",1,1,4,1320710400,Very nice cuppa green...,"This green tea by Stash, just might be one of the best ways to get your jasmine tea fix, and your antioxidants, to boot. The scent of jasmine blossoms comes through very nicely. You can actually enjoy this tea without any sugar, though I still prefer a little bit. There were no discernible aftertastes and I'd say the caffeine kick was light. I'd certainly buy this tea again and again...pass the crab rangoons, please!"
443672,443673,B0034EDM2W,A2AOD7254MCKSH,travel-weary,0,0,5,1341360000,Great gluten free sweet treat,Most of these bars are really glorified candy bars. But this makes a nice gluten free indulgence for my husband who loves them. I have a hard time finding anything he really likes.
157114,157115,B002TMV3GC,A28TWWUAWFVCTR,Never pay retail,0,0,5,1278806400,yummy,"I could die happy just sticking my face in the bag and smelling this stuff.  Ecstasy!  It brews up just as tasty as it smells.  Not bitter, just the right strength with the normal amount of grounds I usually use.  My standard fare is plain coffee with a ton of Hazelnut Coffeemate.  This coffee I could almost drink black.  ...almost... ;-)"
425404,425405,B0002E2GQU,A2QUAT54YV5ZO2,f.b.,5,5,5,1170720000,"Fantastic, awesome taste and texture...","Great taste! very creamy espresso with a natural sweet aroma, does not need any other cream or sugar to ruin such a rich taste.<br /><br />The reason why your(to the previous reviewer) coffee tasted sour is because you failed to use a decent and suitable home espresso machine.<br /><br /> If you had used the right method and machine it would have been nearly impossible for you not to enjoy the great taste this coffee can offer.<br /><br />These are very high quality espresso beans with a taste so full and rich that you would want to keep going back to it after tasting other coffees."
195041,195042,B000LKV40Y,A2CE6NAN4J9DRL,ajbruce5,2,2,5,1237766400,Best Gluten Free Mix!,"This product makes the best GF pancakes.  Our son is on a gluten free/casein free diet and he loves the pancakes made from this mix.  In fact, the entire family enjoys them.  The pancakes come out light, fluffy and tasty.  We have tried just about every GF/CF mix on the market and these are by far the best!"
503034,503035,B0028PHH6U,AUA4RCP030A4Q,Rixatrix,3,3,5,1312502400,Delicious and Handy! (And ridiculously cute!),"If you like the taste of strawberry Pocky or strawberry Yan Yan, you will like these.  My fiance and I have an  American palette, but we were hooked on Hello Panda ever since he bought the ""Milk"" (Vanilla) flavor on a whim from the international aisle of a supermarket.<br /><br />They arrive in individual boxes packed in a display box (like at a store).  The individual packaging make them easy to throw in a bag or purse on the go (easy for pacifying fussy kids too!), and the individual outer cardboard package means these creme-filled cookies don't get crushed by your water bottle. :)"
171163,171164,7310172001,A28UDMHG53LMJ1,MikeC,0,0,4,1222214400,Sammy loves these!,"My pitbull, Sammy, loves these treats! they are useful for training as well as do not make her breath smell overly bad."
511854,511855,B0016NRLHU,AXG4XK90KH7PW,"K. Smeltz ""Karen""",6,6,5,1264032000,Gourmet Expresso Beans,"Seattle Gourmet Foods is a company I found through Amazon.com The past few years I have found myself ordering more and more on the internet.I always skipped the reviews because I just thought they were probably written by people who benefited from my purchase. However, I have become very dependent on what my fellow shoppers have to say,and really surprised when I realized Amazon allow customers comments good and bad to be printed.<br />Anyway that being said I will tell you this product came and was delivered as promised.There are so many in this barrel shaped container it almost seems bottomless.The chocolate covered gems are so rich and creamy with just the right amount of chocolate covering the crunchy fresh expresso bean in the middle.Just a few will do you packing a delicious caffein buzz! I thought they were a bit expensive when I first placed my order, hoping the saying ""you get what you pay for"" was true I orderd anyway and am very pleased with the value. Getting what I paid for and a whole lot more.<br /><br />Thanks from one very satisfied customer on Morgantown Pa.<br />Karen"
411545,411546,B0033GZMXS,A3AGMP5SGSAT2T,"J. Boileau ""Bookavore""",0,0,5,1333497600,A new favorite,I love this coffee. It has good flavor for me (I will say that I do not like super strong coffee or funky flavors). Even my dad who hates flavored coffee liked this. It is really good with some vanilla creamer.
228403,228404,B003VXHGPK,A3K9YKYVGEENPI,Beth,1,1,3,1317772800,Okay but not great,This coffee is okay but certainly not as good as Green Mountain's Breakfast Blend. It just doesn't taste as good.
357350,357351,B00061EUN6,A3ETM5MIM8CYAU,Terribear1965,0,0,5,1294185600,SWEET!!,"This is awesome for those of us who cannot have sugar.  I have used this in making cookies, candied sweet potatoes and even in my homemade granola and I have not been disappointed.  I am very grateful that I have found this product on Amazon.  Since my surgery, I have become a very dedicated Amazon shopper and this product is one of my most awesome finds!!"
204907,204908,B000UYIPYY,A2WYKLLB8LA52T,"J. Gardella ""jdgardella""",0,0,5,1314835200,Get Some!,"A few words that come to mind.....amazing, wonderful, astonishing, delicious, fantastic, and delightful.  Thank you Snyder's of Hanover for these pretzle pieces bravo!<br /><br />These are the next best thing to an actual Buffalo chicken wing!"
27219,27220,B0000TL6CC,A284GFJ79HQPRL,David Kim,0,1,1,1302566400,paste in a plastic tube,This is basically seasoned paste in plastic tube.  It does not cook well on it's own and is only good as an extra flavoring.  The taste seemed a bit weird to me.  It tasted like plastic.  Gross!!<br /><br />Save your money and just get some good quality spices to add to your meal.
5245,5246,B0012YEKCW,AAHJU3Q2XH8RB,Susan Kibler,4,5,3,1294099200,Diappointed,"Cat grass is cat grass, and I have one cat that absolutely loves it; another that couldn't care less.  It's winter now, so I couldn't find it where I buy seeds, so I went on line.  Product is okay, service was prompt.  My disappointment: could only order one two-ounce package per shipping and handling fee.  Cat grass only lasts a couple of weeks, and I would have ordered 3 or 4 packages, but not at 3 or 4 times that shipping fee!"
446919,446920,B007HP6IDE,A3AMNY44OP8AOU,Jennifer Lee,1,1,5,1335225600,Awesome flavor!,"The flavoring is absolutely caramel.  No doubt about it.  It smells so rich and sweet you'd expect to get a sugar shock from drinking it, but it's only as sweet as the natural sweetness of a good matcha.  And the matcha base used is good!  The flavor isn't just some mask for an inferior tea!<br /><br />The color of this tea is a bit brownish.  Those who are used to the vibrant green of matcha may be a bit shocked at first, but the brownish tint is undoubtedly from the flavoring.  The awesome awesome flavoring.  Drink it straight for a decadent treat without the cavaties, or make it into a mind blowing latte.  yummy!  You can use it to add caramel flavor to anything!  caramel vanilla matcha milkshake?  Yes please!  Caramel matcha hot chocolate?  Mmmmm...no words."
544217,544218,B004XE0LWQ,A1B6O7SAIYG2N0,"Jacx ""J.C.""",0,0,5,1316304000,wow very pleased,"I have to say the new offerings are great. the french roast and the Italian roast have a nice strong coffee flavor. I would say remember your first cup out of a keurig, the reason you bought a machine, these two flavors remind me of that."
210729,210730,B001EQ4OWO,A2IA7MHW1BMF0Z,Bridget Bonham,2,2,4,1254096000,Dog Waste Bags,"I have two large breed dogs and live in a metropolitan area.  Quite frankly I purchased the bags so on those occasions when there are no waste receptacles, I can dispose of the bags in a wooded or brushy area, with less guilt.  I probably should have purchased the larger size since there are times I need to use two bags for one deposit.  Although sometimes I have difficulty tearing off on the perforation (it does make a difference in how you hang them on a hook) I will purchase these again."
99591,99592,B0014A1BWQ,A274C6OVKZ641J,jeffwade10,0,2,1,1314576000,just terrible,Way too salty has an orange hue taste that is discussting bought obviously on the good reviews worst seasoning product i ever tried avoid this.
234008,234009,B004770OLM,ATVAXMCSYVATX,"M. Ellis ""Superchop728""",2,2,5,1293926400,Great price for great tea,You have to really search for good deals on tea and this tea is great fro the price.  Some tea on Amazon is almost a $1/cup! this is the same price as the K-cup coffee and some of the herbal varieties have low or no caffine which is a good option for my pregant wife that used to have the after dinner coffe with me.
285168,285169,B001E5E3JY,A3E71J5PIU0Q04,Abdul Gaffar Syed,2,3,1,1323648000,Bitter!,"Agreed that it is zero calories sugar, but the last I remember, sugar was supposed to be sweet not bitter! I tried it for about a week in all different things using the recommended drops/serving. It just made everything bitter."
436473,436474,B000FFLTD2,AF42HX1CY5TTA,E. McGinnis,1,1,4,1301097600,Not the best but not bad,"This Pad Thai doesn't taste like what you'd have at a restaurant, but take into account that many traditional Pad Thai recipes call for 1/2 a cup of oil and McDougall products strictly avoid oils.<br /><br />The taste of this is spicy and lemony. The noodles are pretty good. Not my favorite McDougall soup but great if you need something low fat and fast."
419378,419379,B0029ZAOW8,A2RUEXQ7N9IDE9,"Daniel ""Daniel""",1,1,4,1328745600,Very good,"Product received quickly and just as described.  Packaging was a little ripped up when arrived but no big deal.  One star less as I think this product (not just on Amazon but everywhere) is a bit pricier than it may be worth.  Although, it is obvious that I paid it, I believe they would do better if it was slightly less expensive ($2/bottle would be nice)."
484920,484921,B00248EE4O,A17V9XL4CWTQ6G,Chandler,2,2,5,1270425600,healthy AND heavenly,"As a weight loss coach, I often talk about quinoa.  The Aztecs called this ""the food of the Gods"" and it truly is...incredibly healthy and full of vitamins, protein, antioxidants and it's extremely filling. I have gotten many people hooked on it using it as a substitute for rice.  I got these chips (multigrain and the cheddar flavors) simply because I saw good ol' quinoa in the ingredient list but also tons of other good stuff: Stone Ground Yellow Corn, Non-hydrogenated Canola Oil, Brown Rice Flour, Flax Seeds, Turbinado Cane Sugar, Oat Fiber, Sesame Seeds, Sunflower Seeds, Quinoa, Soy Flour, Sea Salt, real cheese in the cheddar.<br /><br />But having ""good"" ingredients doesn't often equate to good taste.<br /><br />It does here.  These are addictive.  I typically buy them at Target or Central Market but it's cheaper to get them here with subscribe and save and no taxLove these...and I actually feel GOOD about putting them in my body. A rarity for a snack.  Bring on the cheddar and I'll sign up for auto delivery.  Try em with hummus.<br /><br />Alternatives: I am also equally addicted to barbecue PoPChips...they are also an all natural snack that's low in fat and calories but highly addictive in my opinion."
537701,537702,B000ETAK1G,A1NIOCL2TU51R4,Patricia,0,0,5,1187222400,Delicious,We eat these almost every night as a very light and tasty snack. I also enjoy the original flavor.
327092,327093,B002Q2EMBI,A2RCQ6GILD2K07,SayLaV,8,8,5,1279670400,No Caffeine and tastes like coffee!!!!!,"This summer I was diagnosed with a hiatal hernia. Coffee, Tea and Chocolate would hurt my stomach so I had to go cold turkey and quit.When I read the ingredients on the package I wasn't too convinced it would taste good. Wow, I was wrong. Naturalis Inka has been an answer to my prayer. It is like drinking instant coffee without the caffeine. I missed my morning cup of coffee with flavored creamers and now I can look forward to having it again and a night time cup  also. I found this at my local health food store.  I highly recommend this product for those who can not have caffeine."
164213,164214,B000CQE3NM,A1SO1PGDNVMLXC,kalyson,1,1,5,1284768000,"Love it!  Nice, smooth tea","I normally really dislike mint tea.  Usually it has a lot of peppermint and is too strong.  But this one is milder and has spearmint, predominantly.  Not strong, though, and very, very smooth.<br /><br />A bit of honey or sweetener is nice with this one.<br /><br />I don't get distinct tastes of other things that they put in the tea -- the flavor is more of a gestalt.  It is a mint flavor that is more complex than the typical strong plain mint tea.<br /><br />Very, very nice."
453314,453315,B0029XLH4Y,A2NPRFWJOJ0G43,R.J.,0,0,5,1292716800,Jet fuel is one of our favorites,Amazon has been the best price we have found.<br />Jet fuel is strong and bold coffee which we love.
136082,136083,B005SPQENY,A3B620VGG3J6ZP,"Alexokerry ""Alexokerry""",0,0,2,1333843200,Very bad,"I love tea and green tea especially, but this product was one of the worst tasting things that I have ever tasted.  It was bitter and left a horrible aftertaste.  After the first drink I gave it to my sister to try and she disliked it even more.  Perhaps we just don't have the most developed tastebuds around."
373671,373672,B0009HGVWA,A9PE4VLGM3IFD,B. Mendez,0,0,5,1350432000,Great gummies!,"Omg, I found these great gummies in carrollton, and they are tasty, juicy and addicting!!! Try them out! I will reorder soon!"
407273,407274,B001NXOCRA,A294XPNZFKDN1A,Wilsotel,0,0,4,1345593600,Great bargain,"I've tried other veggie washes but, Fit is the only one that can be used on all fruit and vegetables. It removes the residue quickly and doesn't leave any aftertaste. As far as price, the combo pack cannot be beat."
278325,278326,B001O3U7AK,A2JAQL1YN6Q9ND,Philip Veech,0,0,5,1348617600,Zipfizz,Berry is one of the best flavours I have tried.  Just wish it wasn't more expensive then some of the other ones.  I enjoy zip fizz everyday.
37812,37813,B000LKVDO6,A2RXMTL1LAQ5Q6,"Neo Maximus ""The Great One""",2,10,1,1237507200,One of the worst,"I ordered this just because of a special deal going on at Amazon. It turns out they were being sold cheap for a reason. Just one packet contains 38% sodium which is too much. And the problem is that you can taste the nasty oil and too much salt due to so much sodium which I think is added as preservative. Would not recommend for regular eating. If you have ever eaten Indian meals, this is totally not what you expect from them.<br /><br />Tried it on my friends too and they all hated it."
88119,88120,B0030VBQOK,A3RA0IYGOM1FMH,"C. Pilster ""The Visual Storyteller""",0,2,5,1322352000,Our baby loves this!,He will scream at us to have these and he is now 18 months. We will give this to him for one of his serving of vegetables because sometimes it's hard to get him to eat them otherwise.
157394,157395,B0019QT66I,A2WN4WXBH2B8AN,"Ms. V. L. Adams ""madlou""",0,3,5,1200268800,"Great flavor, great price!",I've purchase Natural Calm regular flavor from my chiropractor. Imagine my surprise to see a bottle twice the size at a lower price. I use it in hot water like tea. The raspberry-lemon flavor is very pleasant.
317863,317864,B005K4Q1RW,A2WQMV1HOIPD7F,Sunflower,1,2,5,1318896000,Yummy!,"Just received my box of Caramel Apple cider today and it is delicious.This cider tastes as good as it smells. I was looking around for a sugar fix today and had this, at only 10 calories a K-cup it really satisfied my need for something aweet."
98721,98722,B001CCXVQU,A1IUUH7DV1TDHQ,M. Brown,3,3,5,1274140800,Good Coffee,"Very rich coffee for being a decaf; however I should've read it better - they are not K-cups, but can still use the coffee in the adapter."
434736,434737,B000VIFCYU,A3BR9Q0HVHRFS0,Reader,0,0,5,1341187200,Similac to Go,"Pros: Perfect for on-the-go, no need to warm it up.  I always have 1-2 with me in case we are out longer than anticipated.  Also have a 6-pack or two on hand at all times in case of water emergency and unable to make powdered formula.<br />Cons: The liquid is browner than it is when made with powder, so it stains clothing more easily.  Also, this option produces more environmental waste."
485750,485751,B001RVFERK,A2PL7D70ZQ22LU,P. Najarian,0,2,4,1214179200,Great chips,"I tried these in Colorado and came home to find out they only sell them on the west coast. Amazon didn't sell the ones I wanted. I put it on a wish list as a gift for a loved one. Within a week of their birthday, Amazon e-mailed me that it was available. Great chips but, took longer to ship then expected. Just in the nick of time for the birthday. When you want something real bad, Amazon usually comes through."
267931,267932,B000LKZA1I,A3C6WRBR05IPC,"Suzanne Root ""monkeymome3""",0,1,3,1309132800,Kind of boring and bland,"I am new to the gluten free world and so I might not know that all pizza dough that is gluten free, tastes like yuck.  Boring, bland and with a weird smell.  I bought 2 of these and will probably try it again, since I bought the package but I don't really get the reviews that think this is a wonderful taste."
71648,71649,B007RTR8AM,A3M6KV5PDU46YI,Jessica Durbin,1,1,3,1342742400,Just your average shampoo,"Seems like a very average shampoo....<br /><br />Item arrived a sticky mess as it leaked out during shipping. The smell is pleasant, texture creamy and perfect consistancy. I've used on my hair for over a week without any noticeable changes for the better. I agree with other reviewers that it doesn't appear to make it fuller, but instead feels slightly more fly away. I am also using the matching conditioner.<br /><br />Overall it's worth a try when switching up from your normal shampoo, but it's not going to be my new every day shampoo."
459528,459529,B004WL0T36,A112N2KNKHGGOW,Patty,0,0,5,1337731200,LOVE Nuun!,Nuun is a great product and extremely easy to take on the go. My husband keeps a tube in his golf bag and I keep one in my purse. Fruit punch has a great flavor without being too sweet. Highly recommend this product to anyone looking for a good hydration product.
257763,257764,B001WAL1NW,A1IPPUQZP5Z3JL,"Cherrie ""regular gal""",0,0,1,1320451200,Buy something else,"These worked great - at first.  I used two of them to replace bulbs in a drop ceiling, and they fit fine, came on right away (although at a dimmer setting), and reached full brightness relatively quickly.<br /><br />The problem is that they did not last ""nine years"" as advertised. In fact both bulbs burnt out within a few days of each other, after approximately 10 months of light use.  Considering that these are priced as if you would replace them after nine years of use, I paid way, way too much for these bulbs."
513355,513356,B004HOLD60,ADRYHOAJ0BCKU,Frequent Amazon Shopper,0,0,5,1302566400,A healthy addiction,"Not generally a big fan of wasabi or of almonds, but somehow find these particular wasabi and soy sauce almonds to be a healthy addiction. My doctor recommended almonds as an excellent low-carb, high protein, high fiber snack with heart healthy fat and this flavor is great to meet that suggestion while providing a nice savory and spicy snack with a little salty crunch.  A little bit spicy but not too much (I don't tolerate really spice foods well).  I tried the smokehouse flavor by the same brand and didn't like it, but I could live on these wasabi and soy sauce almonds. The soy sauce flavor is hardly noticeable but just nicely tones down the heat of the wasabi."
450848,450849,B0000V8IOE,A3BT6EFBRAE0GP,V51NC,0,0,4,1297728000,"Smooth, flavorful, and pricey","Treated ourselves for Christmas to see what everyone raves about Kona coffee.  Bought whole medium roast beans and milled just before brewing to discover the java to be nicely smooth, flavorful and enjoyable.  The price, however, doesn't quite justify the marginally-better product.  We probably won't buy this again - maybe try Blue Mountain Jamaican java next time !?"
138484,138485,B0089SPENI,ADRQUBG5JSAQ3,G Elizabeth,2,2,5,1295913600,Best Cup of Tea!!,"I received a Keurig machine for Christmas, so I purchased this tea yet I wasn't expecting much. Well I found that this makes the BEST CUP OF TEA!! I have to pace myself because I could just drink cup after cup it is that good!!"
213812,213813,B0039LVLS2,A38NO7J1TK4R1W,"Amez ""Amez""",1,1,4,1333324800,These are great but the mix of flavors is not the best,"I love Smart fries so they get 5 stars. However this pack is not the best mix of the flavors. It good if you don't know what you like and want to try 1-2 bags of each different flavor. However, if you know you like certain flavors and are looking for a bunch of them you should just buy the seperate flavor packs.<br /><br />The flavor of the smart fries themselves are amazing. I have been using these as a subsitute for eating other salty or sweet snacks. The whoel bag is only a little over 100 calories and if you swap them out for the right cravings they are going to save you a junk load of calories.<br /><br />The price here is alot better then local stores that I have seen. At my work cafe they have these for about 2 dollars a bag. So anything under 1.50 would have been great but under a dollar a bag that's just awesome. I am planning on stocking up on some of the 1 flavor packs for a long road trip since these are an excellent ""snacking food"" when your not starving but want to munch :)."
422912,422913,B003JA5KH6,A2FRUAHD04WPOX,Mike,2,2,5,1320278400,Yum!!,I would buy this time and time again.<br />The variety is nice. I enjoy each type of bean.<br />I have them for breakfast and lunch.
506167,506168,B001CWVZUY,A2V10DEH7G5AY2,C. Bostock,11,11,5,1271376000,I would give Harmony Farms extra stars if I could!,"I have a 2 year old Portuguese Water Dog who always seemed to have a sensitive stomach, and a 15 year old Shepherd X dog who was beginning to lose weight, she slept almost all the time, and she was getting very fussy about what she'd eat. (I believe that with a dogs sense of smell they KNOW exactly what is in their food; however they have no choice but to eat what we feed them...just Google what is in most commercial dog foods, and you'll see why your dog may not be thrilled to eat it up...if a dog can detect cancer in a person, they can detect all sorts of other things that aren't supposed to be eaten.) Anyway...I used to feed Purina lamb and rice to my dogs, but I was finding my young Porty was having trouble with it, and my 15 yr old would eat a few bits and then leave her dish. So, I started making their food, and came up with a wonderfully nutritious and tasty recipe. The dogs loved my homemade dog food, and my 15 yr old began putting on weight again, but I didn't always have time to make their food. And, homemade dog food is kind of hard on the wallet. So, I started to research all the natural dog foods out there, compare costs etc. I arrived on Harmony Farms, and guess what...my dogs LOVE it just as much as they love my home made dog food. My young Porty no longer has stomach troubles and she looks great; my 15 yr old finishes her meals and looks for more. Both have shiny coats and energy. No one can believe my old girl is 15 years old. I have told my friends about Harmony Farms dog food, and when they've switched over, they've reported similar positive results. My brother-in-law's dog had always been a very fussy eater, and had skin problems with a thinning coat. When they started to feed her Harmony Farms, she became an eager eater, more happy and outgoing, and her skin and coat condition has completely cleared up (...I'm thinking she had an allergy to whatever was in her other food, which I think was Iams). Other friends have commented on how happy their dogs are at meal time now...and they had all been feeding their dogs premium, top of the line dogs foods AND paying top of the line prices. Harmony Farms products are very reasonably priced. Not the cheapest dog food on the shelf, but, in my opinion, you are buying the best quality food on the market, so it's an incredibly GOOD DEAL! It may also mean you make fewer trips to the veterinarian's office. I and my friends are so happy we have found this food for our dogs. :)"
510594,510595,B002WDZ6Y8,A3BHKPKP87TELH,"Heather E. Wright ""Amazon lover""",0,0,5,1302480000,yum,"I really enjoyed this chai latte.  Great taste, and love the creamer that runs thru the machine as well after the tea has brewed.  It comes out just like getting a latte from a barista."
523811,523812,B001EPP9LK,A30PIF8T8QLNEG,Idigi&lt;3,0,0,5,1345680000,Great for camping trips,So easy to grab and go. Toss in my backpack and I'm all set! Great flavor and texture and no fillers or artificial garbage.  Just pure natural salmon!
254398,254399,B005GIF5UQ,A1B8RBFA887XP1,"""unknown""",1,1,5,1319846400,Kitty cocaine,My cat has been watching me suspiciously carefully and I think he is trying to work out how he can order cases and cases of these. I had better keep a careful eye on my credit card....
286391,286392,B0038A0ZAY,A1R80B2TVLWHOC,"Pearsonvideo ""Christina""",0,0,5,1318982400,amazing!,"My new favorite thing. I've been using this for salads for the last week and I'm hooked. The balsamic is bold but smooth, and the figs add a nice round flavor. Great with a little olive oil on a chicken salad with raspberries, mozzarella, and cashews."
563663,563664,B007JFMH8M,AKS7Z4XK7O4CI,Dessie A.,0,0,5,1341792000,Soft and Delicious!,"I love how soft the Quaker cookies are! Not only are they soft but they're delicious too. Grab one for a snack on the go, put in your kids lunch box, or just enjoy at home. They're great!"
302337,302338,B001SATPU2,A3IDGT3B1TCBRP,"L. T. Feldbrill ""Silver Surfer""",0,0,5,1314662400,Nathan's Coney Island Mustard,Excellent condiment for sandwiches and hot dogs. Tastes like no other. Extremely reasonable pricewise especially in the 12 pack. I use it daily.
70607,70608,B000FNB3AI,A2ZE5ICI6LWAZ0,"Debra Schiff ""http://hereandthere123.blogspot...",3,4,3,1173139200,"Ok, but a grainy texture.","It's definitely lemony, and nicely sweet. However, it's very high in fat and has a pronounced grainy texture. I found that when I keep them in the fridge, they taste better than at room temperature.<br /><br />I'd probably try her other cookies instead of buying these again."
